month,id,otherTable_id
2017-09-01,2549,9.0
2017-08-01,2550,9.0
2017-07-01,2551,9.0
2017-06-01,2552,9.0
2017-05-01,2553,9.0
2017-04-01,2554,9.0
2017-03-01,2555,9.0
2017-02-01,2556,9.0
2017-01-01,2557,9.0
2019-01-01,2586,9.0
2018-12-01,2587,9.0
2018-11-01,2588,9.0
2018-10-01,2589,9.0
2018-09-01,2590,9.0
2018-08-01,2591,9.0
2018-07-01,2592,9.0
2018-06-01,2593,9.0
2018-05-01,2594,9.0
2018-04-01,2595,9.0
2018-03-01,2596,9.0
2018-02-01,2597,9.0
2018-01-01,2598,9.0
2017-12-01,2599,9.0
2017-11-01,2600,9.0
2017-08-01,2601,9.0
2017-06-01,2602,9.0
2019-01-01,2618,9.0
2018-12-01,2619,9.0
2018-11-01,2620,9.0
2018-10-01,2621,9.0
2018-09-01,2622,9.0
2018-08-01,2623,9.0
2018-07-01,2624,9.0
2018-06-01,2625,9.0
2018-05-01,2626,9.0
2018-04-01,2627,9.0
2018-03-01,2628,9.0
2018-02-01,2629,9.0
2018-01-01,2630,9.0
2017-12-01,2631,9.0
2017-11-01,2632,9.0
2017-10-01,2633,9.0
2017-09-01,2634,9.0
2017-08-01,2635,9.0
2017-07-01,2636,9.0
2017-06-01,2637,9.0
2017-05-01,2638,9.0
2017-04-01,2639,9.0
2017-03-01,2640,9.0
2017-02-01,2641,9.0
2017-01-01,2642,9.0
2019-01-01,2679,9.0
2018-12-01,2680,9.0
2018-11-01,2681,9.0
2018-10-01,2682,9.0
2018-09-01,2683,9.0
2018-08-01,2684,9.0
2018-07-01,2685,9.0
2018-06-01,2686,9.0
2018-05-01,2687,9.0
2018-04-01,2688,9.0
2018-03-01,2689,9.0
2018-02-01,2690,9.0
2018-01-01,2691,9.0
2017-12-01,2692,9.0
2017-11-01,2693,9.0
2017-10-01,2694,9.0
2017-09-01,2695,9.0
2017-08-01,2696,9.0
2017-07-01,2697,9.0
2019-01-01,2712,9.0
2018-12-01,2713,9.0
2018-11-01,2714,9.0
2018-10-01,2715,9.0
2018-09-01,2716,9.0
2018-08-01,2717,9.0
2018-07-01,2718,9.0
2018-06-01,2719,9.0
2018-05-01,2720,9.0
2018-04-01,2721,9.0
2018-03-01,2722,9.0
2018-02-01,2723,9.0
2018-01-01,2724,9.0
2017-12-01,2725,9.0
2017-11-01,2726,9.0
2017-10-01,2727,9.0
2017-09-01,2728,9.0
2017-08-01,2729,9.0
2017-07-01,2730,9.0
2017-06-01,2731,9.0
2017-05-01,2732,9.0
2017-04-01,2733,9.0
2017-03-01,2734,9.0
2017-02-01,2735,9.0
2017-01-01,2736,9.0
2019-01-01,2770,9.0
2018-12-01,2771,9.0
2018-11-01,2772,9.0
2018-10-01,2773,9.0
2018-09-01,2774,9.0
2018-08-01,2775,9.0
2018-07-01,2776,9.0
2018-06-01,2777,9.0
2018-05-01,2778,9.0
2018-02-01,2779,9.0
2019-01-01,2784,9.0
2018-12-01,2785,9.0
2018-11-01,2786,9.0
2018-10-01,2787,9.0
2018-09-01,2788,9.0
2018-08-01,2789,9.0
2018-07-01,2790,9.0
2018-06-01,2791,9.0
2018-05-01,2792,9.0
2018-04-01,2793,9.0
2018-03-01,2794,9.0
2018-02-01,2795,9.0
2018-01-01,2796,9.0
2017-12-01,2797,9.0
2017-11-01,2798,9.0
2017-10-01,2799,9.0
2017-09-01,2800,9.0
2017-08-01,2801,9.0
2017-07-01,2802,9.0
2017-06-01,2803,9.0
2017-05-01,2804,9.0
2017-04-01,2805,9.0
2017-03-01,2806,9.0
2017-02-01,2807,9.0
2017-01-01,2808,9.0
2017-12-01,2821,9.0
2017-11-01,2822,9.0
2019-01-01,2827,9.0
2018-12-01,2828,9.0
2018-11-01,2829,9.0
2018-10-01,2830,9.0
2018-09-01,2831,9.0
2018-08-01,2832,9.0
2018-07-01,2833,9.0
2018-06-01,2834,9.0
2018-05-01,2835,9.0
2019-01-01,2850,9.0
2018-12-01,2851,9.0
2018-11-01,2852,9.0
2018-10-01,2853,9.0
2018-09-01,2854,9.0
2018-08-01,2855,9.0
2018-07-01,2856,9.0
2018-06-01,2857,9.0
2018-05-01,2858,9.0
2018-03-01,2859,9.0
2017-11-01,2860,9.0
2017-09-01,2861,9.0
2017-08-01,2862,9.0
2017-07-01,2863,9.0
2017-06-01,2864,9.0
2017-05-01,2865,9.0
2017-04-01,2866,9.0
2017-02-01,2867,9.0
2017-01-01,2868,9.0
2019-01-01,2874,9.0
2018-12-01,2875,9.0
2018-11-01,2876,9.0
2018-10-01,2877,9.0
2018-09-01,2878,9.0
2018-08-01,2879,9.0
2018-07-01,2880,9.0
2018-06-01,2881,9.0
2018-05-01,2882,9.0
2018-04-01,2883,9.0
2018-03-01,2884,9.0
2018-02-01,2885,9.0
2018-01-01,2886,9.0
2017-12-01,2887,9.0
2017-11-01,2888,9.0
2017-10-01,2889,9.0
2017-09-01,2890,9.0
2017-07-01,2891,9.0
2017-06-01,2892,9.0
2017-05-01,2893,9.0
2019-01-01,2908,9.0
2018-12-01,2909,9.0
2018-11-01,2910,9.0
2018-10-01,2911,9.0
2018-09-01,2912,9.0
2018-08-01,2913,9.0
2018-07-01,2914,9.0
2018-06-01,2915,9.0
2018-05-01,2916,9.0
2017-12-01,2917,9.0
2017-11-01,2918,9.0
